0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:11 +0900] "GET /jwbook/resources/time.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/resources/time.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/resources/time.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/resources/time.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/resources/time.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/resources/time.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:12:12 +0900] "GET /jwbook/resources/time.js HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:08 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:08 +0900] "GET /jwbook/resources/js/time.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2023:12:13:08 +0900] "GET /jwbook/time.jsp HTTP/1.1" 200 595
